,date,store_nbr,item_nbr,city,type_store,cluster,family,perishable,type_holiday,locale,transferred,unit_sales
0,1,9,103501,Quito,B,6,CLEANING,0.0,,,,19.0
1,1,10,103501,Quito,C,15,CLEANING,0.0,,,,8.0
2,1,11,103501,Cayambe,B,6,CLEANING,0.0,,,,13.0
3,1,12,103501,Latacunga,C,15,CLEANING,0.0,,,,7.0
4,1,13,103501,Latacunga,C,15,CLEANING,0.0,,,,13.0
5,1,14,103501,Riobamba,C,7,CLEANING,0.0,,,,4.0
6,1,15,103501,Ibarra,C,15,CLEANING,0.0,,,,9.0
7,1,16,103501,Santo Domingo,C,3,CLEANING,0.0,,,,13.0
8,1,17,103501,Quito,C,12,CLEANING,0.0,,,,14.0
9,1,18,103501,Quito,B,16,CLEANING,0.0,,,,4.0
10,1,19,103501,Guaranda,C,15,CLEANING,0.0,,,,6.0
11,1,28,103501,Guayaquil,E,10,CLEANING,0.0,,,,12.0
12,1,30,103501,Guayaquil,C,3,CLEANING,0.0,,,,3.0
13,1,31,103501,Babahoyo,B,10,CLEANING,0.0,,,,8.0
14,1,32,103501,Guayaquil,C,3,CLEANING,0.0,,,,1.0
15,1,33,103501,Quevedo,C,3,CLEANING,0.0,,,,12.0
16,1,34,103501,Guayaquil,B,6,CLEANING,0.0,,,,5.0
17,1,35,103501,Playas,C,3,CLEANING,0.0,,,,2.0
18,1,39,103501,Cuenca,B,6,CLEANING,0.0,,,,6.0
19,1,40,103501,Machala,C,3,CLEANING,0.0,,,,13.0
20,1,43,103501,Esmeraldas,E,10,CLEANING,0.0,,,,3.0
21,1,54,103501,El Carmen,C,3,CLEANING,0.0,,,,10.0
22,1,9,103501,Quito,B,6,CLEANING,0.0,,,,5.0
23,1,10,103501,Quito,C,15,CLEANING,0.0,,,,7.0
24,1,11,103501,Cayambe,B,6,CLEANING,0.0,,,,10.0
25,1,12,103501,Latacunga,C,15,CLEANING,0.0,,,,7.0
26,1,13,103501,Latacunga,C,15,CLEANING,0.0,,,,2.0
27,1,14,103501,Riobamba,C,7,CLEANING,0.0,,,,16.0
28,1,15,103501,Ibarra,C,15,CLEANING,0.0,,,,9.0
29,1,16,103501,Santo Domingo,C,3,CLEANING,0.0,,,,11.0
30,1,17,103501,Quito,C,12,CLEANING,0.0,,,,8.0
31,1,18,103501,Quito,B,16,CLEANING,0.0,,,,5.0
