id,date,store_nbr,item_nbr,onpromotion,city,state,type_store,cluster,family,class,perishable,type_holiday,locale,locale_name,description,transferred,unit_sales
4896670,2013-04-29 00:00:00,3,253103,0.0,Quito,Pichincha,D,8,BREAD/BAKERY,2712.0,1.0,Regular,n,n,n,n,1.0
5868360,2013-05-21 00:00:00,9,765520,0.0,Quito,Pichincha,B,6,GROCERY I,1084.0,0.0,Regular,n,n,n,n,1.0
6718464,2013-06-09 00:00:00,11,404439,0.0,Cayambe,Pichincha,B,6,GROCERY I,1034.0,0.0,Regular,n,n,n,n,67.0
96421934,2016-11-09 00:00:00,38,268440,0.0,Loja,Loja,D,4,CLEANING,3026.0,0.0,Regular,n,n,n,n,1.0
95397691,2016-10-30 00:00:00,29,164647,0.0,Guayaquil,Guayas,E,10,CLEANING,3032.0,0.0,Regular,n,n,n,n,4.0
75603587,2016-04-07 00:00:00,25,1089844,0.0,Salinas,Santa Elena,D,1,BREAD/BAKERY,2712.0,1.0,Regular,n,n,n,n,4.0
26156064,2014-06-29 00:00:00,38,841842,0.0,Loja,Loja,D,4,GROCERY I,1072.0,0.0,Regular,n,n,n,n,34.0
13706421,2013-11-09 00:00:00,9,1239820,0.0,Quito,Pichincha,B,6,DAIRY,2174.0,1.0,Regular,n,n,n,n,27.0
55679638,2015-09-04 00:00:00,15,1392628,0.0,Ibarra,Imbabura,C,15,PERSONAL CARE,4126.0,0.0,Regular,n,n,n,n,1.0
60266004,2015-10-25 00:00:00,45,1457239,0.0,Quito,Pichincha,A,11,HOME CARE,3110.0,0.0,Regular,n,n,n,n,19.0
100202726,2016-12-17 00:00:00,17,2018690,0.0,Quito,Pichincha,C,12,BEVERAGES,1124.0,0.0,Regular,n,n,n,n,6.0
103693579,2017-01-21 00:00:00,9,1958171,0.0,Quito,Pichincha,B,6,BEVERAGES,1142.0,0.0,Regular,n,n,n,n,1.0
16146253,2013-12-28 00:00:00,34,472658,0.0,Guayaquil,Guayas,B,6,GROCERY I,1032.0,0.0,Regular,n,n,n,n,3.0
13719705,2013-11-09 00:00:00,27,310647,0.0,Daule,Guayas,D,1,BREAD/BAKERY,2708.0,1.0,Regular,n,n,n,n,1.0
75604172,2016-04-07 00:00:00,25,1920035,0.0,Salinas,Santa Elena,D,1,GROCERY I,1016.0,0.0,Regular,n,n,n,n,1.0
11662694,2013-09-26 00:00:00,16,724498,0.0,Santo Domingo,Santo Domingo de los Tsachilas,C,3,GROCERY I,1028.0,0.0,Regular,n,n,n,n,3.0
40189135,2015-01-29 00:00:00,12,802832,0.0,Latacunga,Cotopaxi,C,15,GROCERY I,1045.0,0.0,Regular,n,n,n,n,4.0
52532540,2015-07-28 00:00:00,44,1695905,0.0,Quito,Pichincha,A,5,PRODUCE,2008.0,1.0,Regular,n,n,n,n,21.241
110755126,2017-03-29 00:00:00,31,165704,0.0,Babahoyo,Los Rios,B,10,GROCERY I,1016.0,0.0,Regular,n,n,n,n,3.0
16694674,2014-01-07 00:00:00,36,165705,0.0,Libertad,Guayas,E,10,GROCERY I,1016.0,0.0,Regular,n,n,n,n,5.0
89851002,2016-09-02 00:00:00,53,1239868,1.0,Manta,Manabi,D,13,POULTRY,2420.0,1.0,Regular,n,n,n,n,7.612999999999999
61916968,2015-11-12 00:00:00,46,1695966,0.0,Quito,Pichincha,A,14,PRODUCE,2012.0,1.0,Regular,n,n,n,n,1.893
61431128,2015-11-07 00:00:00,28,583977,0.0,Guayaquil,Guayas,E,10,MEATS,2302.0,1.0,Regular,n,n,n,n,1.9469999999999998
95041267,2016-10-26 00:00:00,46,1173210,0.0,Quito,Pichincha,A,14,CLEANING,3040.0,0.0,Regular,n,n,n,n,8.0
92996582,2016-10-05 00:00:00,36,2008571,0.0,Libertad,Guayas,E,10,BEVERAGES,1138.0,0.0,Regular,n,n,n,n,1.0
12502473,2013-10-14 00:00:00,18,315322,0.0,Quito,Pichincha,B,16,GROCERY I,1084.0,0.0,Regular,n,n,n,n,1.0
49448497,2015-06-20 00:00:00,34,1012473,0.0,Guayaquil,Guayas,B,6,CLEANING,3008.0,0.0,Regular,n,n,n,n,10.0
76194269,2016-04-13 00:00:00,37,1039087,0.0,Cuenca,Azuay,D,2,CLEANING,3020.0,0.0,Regular,n,n,n,n,3.0
118338483,2017-06-09 00:00:00,1,1464043,0.0,Quito,Pichincha,D,13,BEVERAGES,1144.0,0.0,Regular,n,n,n,n,16.0
35062942,2014-11-12 00:00:00,27,376483,0.0,Daule,Guayas,D,1,PREPARED FOODS,2966.0,1.0,Regular,n,n,n,n,1.0
78545379,2016-05-08 00:00:00,3,1160796,0.0,Quito,Pichincha,D,8,GROCERY I,1072.0,0.0,Regular,n,n,n,n,1.0
42334930,2015-03-05 00:00:00,44,838415,0.0,Quito,Pichincha,A,5,DAIRY,2128.0,1.0,Regular,n,n,n,n,12.0
116654162,2017-05-24 00:00:00,12,1993077,0.0,Latacunga,Cotopaxi,C,15,GROCERY I,1040.0,0.0,Regular,n,n,n,n,1.0
50217395,2015-06-30 00:00:00,13,414620,0.0,Latacunga,Cotopaxi,C,15,GROCERY I,1016.0,0.0,Regular,n,n,n,n,25.0
66932480,2016-01-06 00:00:00,47,567750,0.0,Quito,Pichincha,A,14,GROCERY I,1056.0,0.0,Regular,n,n,n,n,15.0
74318627,2016-03-25 00:00:00,7,1176560,0.0,Quito,Pichincha,D,8,GROCERY I,1026.0,0.0,Regular,n,n,n,n,1.0
104045703,2017-01-24 00:00:00,27,406965,0.0,Daule,Guayas,D,1,CLEANING,3015.0,0.0,Regular,n,n,n,n,5.0
114747745,2017-05-06 00:00:00,16,1916208,1.0,Santo Domingo,Santo Domingo de los Tsachilas,C,3,GROCERY I,1026.0,0.0,Regular,n,n,n,n,1.0
102716771,2017-01-11 00:00:00,38,314570,0.0,Loja,Loja,D,4,CLEANING,3024.0,0.0,Regular,n,n,n,n,21.0
37304940,2014-12-13 00:00:00,48,598492,0.0,Quito,Pichincha,A,14,GROCERY I,1032.0,0.0,Regular,n,n,n,n,34.0
117317581,2017-05-30 00:00:00,28,253103,0.0,Guayaquil,Guayas,E,10,BREAD/BAKERY,2712.0,1.0,Regular,n,n,n,n,7.0
113188597,2017-04-21 00:00:00,47,1092106,1.0,Quito,Pichincha,A,14,MEATS,2306.0,1.0,Regular,n,n,n,n,33.437
63093184,2015-11-25 00:00:00,35,472314,0.0,Playas,Guayas,C,3,GROCERY I,1030.0,0.0,Regular,n,n,n,n,1.0
15547935,2013-12-16 00:00:00,5,578467,0.0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,GROCERY I,1062.0,0.0,Regular,n,n,n,n,3.0
48882800,2015-06-13 00:00:00,27,1124165,0.0,Daule,Guayas,D,1,BEVERAGES,1124.0,0.0,Regular,n,n,n,n,3.0
70049575,2016-02-09 00:00:00,6,522941,0.0,Quito,Pichincha,D,13,GROCERY I,1002.0,0.0,Regular,n,n,n,n,12.0
80755055,2016-05-31 00:00:00,9,1913230,1.0,Quito,Pichincha,B,6,CLEANING,3020.0,0.0,Regular,n,n,n,n,6.0
31622463,2014-09-24 00:00:00,28,358519,0.0,Guayaquil,Guayas,E,10,GROCERY I,1084.0,0.0,Regular,n,n,n,n,1.0
15405190,2013-12-13 00:00:00,23,664543,0.0,Ambato,Tungurahua,D,9,PERSONAL CARE,4126.0,0.0,Regular,n,n,n,n,2.0
25223639,2014-06-11 00:00:00,26,1083196,0.0,Guayaquil,Guayas,D,10,DAIRY,2116.0,1.0,Regular,n,n,n,n,1.0
26671841,2014-07-07 00:00:00,26,509872,0.0,Guayaquil,Guayas,D,10,GROCERY I,1086.0,0.0,Regular,n,n,n,n,5.0
113445477,2017-04-24 00:00:00,7,252972,1.0,Quito,Pichincha,D,8,CLEANING,3008.0,0.0,Regular,n,n,n,n,12.0
12283950,2013-10-09 00:00:00,37,886067,0.0,Cuenca,Azuay,D,2,BEVERAGES,1120.0,0.0,Regular,n,n,n,n,1.0
1239265,2013-02-01 00:00:00,37,514730,0.0,Cuenca,Azuay,D,2,GROCERY I,1056.0,0.0,Regular,n,n,n,n,1.0
116236233,2017-05-20 00:00:00,21,1464066,0.0,Santo Domingo,Santo Domingo de los Tsachilas,B,6,BEVERAGES,1190.0,0.0,Regular,n,n,n,n,2.0
61677812,2015-11-10 00:00:00,5,1229576,0.0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,PERSONAL CARE,4118.0,0.0,Regular,n,n,n,n,4.0
20198740,2014-03-09 00:00:00,14,771157,0.0,Riobamba,Chimborazo,C,7,CLEANING,3034.0,0.0,Regular,n,n,n,n,4.0
92048674,2016-09-25 00:00:00,47,346406,0.0,Quito,Pichincha,A,14,GROCERY I,1039.0,0.0,Regular,n,n,n,n,2.0
44474452,2015-04-09 00:00:00,17,564274,0.0,Quito,Pichincha,C,12,GROCERY I,1016.0,0.0,Regular,n,n,n,n,1.0
30560694,2014-09-09 00:00:00,6,1028589,0.0,Quito,Pichincha,D,13,"LIQUOR,WINE,BEER",1318.0,0.0,Regular,n,n,n,n,7.0
12385269,2013-10-11 00:00:00,48,459762,0.0,Quito,Pichincha,A,14,BREAD/BAKERY,2708.0,1.0,Regular,n,n,n,n,5.0
15439765,2013-12-14 00:00:00,4,1178696,0.0,Quito,Pichincha,D,9,CLEANING,3020.0,0.0,Regular,n,n,n,n,1.0
109852682,2017-03-20 00:00:00,45,263583,0.0,Quito,Pichincha,A,11,GROCERY I,1074.0,0.0,Regular,n,n,n,n,3.0
31356235,2014-09-20 00:00:00,39,409904,0.0,Cuenca,Azuay,B,6,GROCERY I,1034.0,0.0,Regular,n,n,n,n,2.0
88651113,2016-08-21 00:00:00,20,1501520,0.0,Quito,Pichincha,B,6,PRODUCE,2002.0,1.0,Regular,n,n,n,n,10.0
44738480,2015-04-13 00:00:00,31,1178687,0.0,Babahoyo,Los Rios,B,10,GROCERY I,1026.0,0.0,Regular,n,n,n,n,8.0
119115706,2017-06-16 00:00:00,26,700609,0.0,Guayaquil,Guayas,D,10,FROZEN FOODS,2220.0,0.0,Regular,n,n,n,n,2.0
80066238,2016-05-23 00:00:00,49,1503847,0.0,Quito,Pichincha,A,11,PRODUCE,2022.0,1.0,Regular,n,n,n,n,142.255
12263887,2013-10-09 00:00:00,8,1037654,0.0,Quito,Pichincha,D,8,PERSONAL CARE,4122.0,0.0,Regular,n,n,n,n,2.0
42422391,2015-03-07 00:00:00,9,559873,0.0,Quito,Pichincha,B,6,GROCERY I,1072.0,0.0,Regular,n,n,n,n,24.0
86362904,2016-07-28 00:00:00,51,1463814,0.0,Guayaquil,Guayas,A,17,BEVERAGES,1148.0,0.0,Regular,n,n,n,n,81.0
57506376,2015-09-25 00:00:00,33,953413,0.0,Quevedo,Los Rios,C,3,CLEANING,3046.0,0.0,Regular,n,n,n,n,2.0
9186058,2013-08-03 00:00:00,13,564110,0.0,Latacunga,Cotopaxi,C,15,GROCERY I,1066.0,0.0,Regular,n,n,n,n,7.0
52040052,2015-07-22 00:00:00,43,153267,0.0,Esmeraldas,Esmeraldas,E,10,GROCERY I,1096.0,0.0,Regular,n,n,n,n,4.0
27911763,2014-07-26 00:00:00,2,575675,0.0,Quito,Pichincha,D,13,GROCERY I,1016.0,0.0,Regular,n,n,n,n,2.0
15015932,2013-12-05 00:00:00,39,871511,0.0,Cuenca,Azuay,B,6,BREAD/BAKERY,2750.0,1.0,Regular,n,n,n,n,21.0
13468801,2013-11-04 00:00:00,14,464339,0.0,Riobamba,Chimborazo,C,7,GROCERY I,1040.0,0.0,Regular,n,n,n,n,3.0
44654963,2015-04-12 00:00:00,10,1354711,0.0,Quito,Pichincha,C,15,GROCERY I,1016.0,0.0,Regular,n,n,n,n,15.0
118361250,2017-06-09 00:00:00,12,1168717,0.0,Latacunga,Cotopaxi,C,15,GROCERY I,1026.0,0.0,Regular,n,n,n,n,1.0
6700243,2013-06-08 00:00:00,47,346066,0.0,Quito,Pichincha,A,14,GROCERY I,1039.0,0.0,Regular,n,n,n,n,4.0
21512125,2014-03-29 00:00:00,45,1463866,0.0,Quito,Pichincha,A,11,BEVERAGES,1148.0,0.0,Regular,n,n,n,n,1.0
15462518,2013-12-14 00:00:00,28,1239860,0.0,Guayaquil,Guayas,E,10,POULTRY,2420.0,1.0,Regular,n,n,n,n,8.002
56780783,2015-09-17 00:00:00,2,1695900,0.0,Quito,Pichincha,D,13,PRODUCE,2008.0,1.0,Regular,n,n,n,n,7.419
35659424,2014-11-21 00:00:00,2,949243,0.0,Quito,Pichincha,D,13,PERSONAL CARE,4126.0,0.0,Regular,n,n,n,n,8.0
37171146,2014-12-12 00:00:00,3,401817,0.0,Quito,Pichincha,D,8,GROCERY I,1078.0,0.0,Regular,n,n,n,n,19.0
6031781,2013-05-24 00:00:00,54,457471,0.0,El Carmen,Manabi,C,3,DELI,2644.0,1.0,Regular,n,n,n,n,4.0
33293726,2014-10-18 00:00:00,17,1047681,0.0,Quito,Pichincha,C,12,BEVERAGES,1120.0,0.0,Regular,n,n,n,n,74.0
49911605,2015-06-26 00:00:00,28,559870,0.0,Guayaquil,Guayas,E,10,GROCERY I,1072.0,0.0,Regular,n,n,n,n,39.0
88600668,2016-08-20 00:00:00,47,805311,0.0,Quito,Pichincha,A,14,BEVERAGES,1122.0,0.0,Regular,n,n,n,n,7.0
3320739,2013-03-23 00:00:00,15,261052,0.0,Ibarra,Imbabura,C,15,GROCERY I,1072.0,0.0,Regular,n,n,n,n,10.0
77610992,2016-04-28 00:00:00,28,1695875,0.0,Guayaquil,Guayas,E,10,PRODUCE,2008.0,1.0,Regular,n,n,n,n,7.0
93954820,2016-10-15 00:00:00,34,1464081,0.0,Guayaquil,Guayas,B,6,BEVERAGES,1190.0,0.0,Regular,n,n,n,n,8.0
80761423,2016-05-31 00:00:00,14,115267,0.0,Riobamba,Chimborazo,C,7,CLEANING,3034.0,0.0,Regular,n,n,n,n,5.0
92229899,2016-09-27 00:00:00,44,1962824,0.0,Quito,Pichincha,A,5,DAIRY,2156.0,1.0,Regular,n,n,n,n,2.0
54428415,2015-08-20 00:00:00,39,940590,0.0,Cuenca,Azuay,B,6,CLEANING,3016.0,0.0,Regular,n,n,n,n,2.0
82754987,2016-06-21 00:00:00,16,1464205,0.0,Santo Domingo,Santo Domingo de los Tsachilas,C,3,BEVERAGES,1190.0,0.0,Regular,n,n,n,n,1.0
11642168,2013-09-25 00:00:00,47,1040170,0.0,Quito,Pichincha,A,14,FROZEN FOODS,2222.0,0.0,Regular,n,n,n,n,4.0
63987392,2015-12-05 00:00:00,9,1239800,0.0,Quito,Pichincha,B,6,DAIRY,2162.0,1.0,Regular,n,n,n,n,4.0
62431256,2015-11-18 00:00:00,21,1047703,0.0,Santo Domingo,Santo Domingo de los Tsachilas,B,6,BEVERAGES,1122.0,0.0,Regular,n,n,n,n,1.0
8186153,2013-07-11 00:00:00,50,833644,0.0,Ambato,Tungurahua,A,14,GROCERY I,1034.0,0.0,Regular,n,n,n,n,1.0
68218037,2016-01-20 00:00:00,36,354971,0.0,Libertad,Guayas,E,10,GROCERY I,1044.0,0.0,Regular,n,n,n,n,2.0
9026264,2013-07-30 00:00:00,46,828204,0.0,Quito,Pichincha,A,14,GROCERY I,1060.0,0.0,Regular,n,n,n,n,10.0
100968959,2016-12-24 00:00:00,19,1230014,0.0,Guaranda,Bolivar,C,15,PERSONAL CARE,4176.0,0.0,Regular,n,n,n,n,1.0
23252762,2014-05-03 00:00:00,7,218726,0.0,Quito,Pichincha,D,8,CLEANING,3044.0,0.0,Regular,n,n,n,n,6.0
86772651,2016-08-01 00:00:00,53,1167544,0.0,Manta,Manabi,D,13,BEVERAGES,1124.0,0.0,Regular,n,n,n,n,12.0
74292427,2016-03-24 00:00:00,47,929627,0.0,Quito,Pichincha,A,14,GROCERY I,1045.0,0.0,Regular,n,n,n,n,17.0
3311769,2013-03-23 00:00:00,5,1018878,0.0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,DAIRY,2130.0,1.0,Regular,n,n,n,n,2.0
15255986,2013-12-10 00:00:00,18,764438,0.0,Quito,Pichincha,B,16,GROCERY I,1072.0,0.0,Regular,n,n,n,n,4.0
41917508,2015-02-27 00:00:00,5,264753,0.0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,CLEANING,3034.0,0.0,Regular,n,n,n,n,2.0
117050270,2017-05-27 00:00:00,54,215356,0.0,El Carmen,Manabi,C,3,GROCERY I,1016.0,0.0,Regular,n,n,n,n,1.0
111595194,2017-04-06 00:00:00,25,1091367,0.0,Salinas,Santa Elena,D,1,GROCERY I,1016.0,0.0,Regular,n,n,n,n,5.0
102944435,2017-01-13 00:00:00,51,1105211,1.0,Guayaquil,Guayas,A,17,GROCERY I,1074.0,0.0,Regular,n,n,n,n,54.0
99367759,2016-12-09 00:00:00,9,1080756,1.0,Quito,Pichincha,B,6,GROCERY I,1038.0,0.0,Regular,n,n,n,n,3.0
10277303,2013-08-27 00:00:00,4,1047703,0.0,Quito,Pichincha,D,9,BEVERAGES,1122.0,0.0,Regular,n,n,n,n,5.0
103708504,2017-01-21 00:00:00,18,1394348,0.0,Quito,Pichincha,B,16,CLEANING,3008.0,0.0,Regular,n,n,n,n,6.0
66721506,2016-01-04 00:00:00,35,1464238,0.0,Playas,Guayas,C,3,BEVERAGES,1144.0,0.0,Regular,n,n,n,n,8.0
97619979,2016-11-21 00:00:00,47,1913258,0.0,Quito,Pichincha,A,14,CLEANING,3032.0,0.0,Regular,n,n,n,n,11.0
94968538,2016-10-26 00:00:00,2,724003,0.0,Quito,Pichincha,D,13,GROCERY I,1026.0,0.0,Regular,n,n,n,n,1.0
87700855,2016-08-11 00:00:00,27,1320708,0.0,Daule,Guayas,D,1,GROCERY I,1072.0,0.0,Regular,n,n,n,n,3.0
33121512,2014-10-15 00:00:00,47,1047695,0.0,Quito,Pichincha,A,14,BEVERAGES,1122.0,0.0,Regular,n,n,n,n,9.0
108410998,2017-03-07 00:00:00,1,1239890,0.0,Quito,Pichincha,D,13,POULTRY,2420.0,1.0,Regular,n,n,n,n,8.059
57891162,2015-09-29 00:00:00,54,1047686,0.0,El Carmen,Manabi,C,3,BEVERAGES,1120.0,0.0,Regular,n,n,n,n,1.0
19222863,2014-02-20 00:00:00,8,671039,0.0,Quito,Pichincha,D,8,BEVERAGES,1122.0,0.0,Regular,n,n,n,n,27.0
