id,date,store_nbr,item_nbr,onpromotion,city,state,type_store,cluster,family,class,perishable,type_holiday,locale,locale_name,description,transferred,unit_sales
1820,2013-01-02 00:00:00,2,314384,0.0,Quito,Pichincha,D,13,GROCERY I,1004,0,Regular,n,n,n,n,69.0
10600,2013-01-02 00:00:00,10,364606,0.0,Quito,Pichincha,C,15,GROCERY I,1014,0,Regular,n,n,n,n,52.0
18469,2013-01-02 00:00:00,23,807493,0.0,Ambato,Tungurahua,D,9,BEVERAGES,1124,0,Regular,n,n,n,n,27.0
22651,2013-01-02 00:00:00,28,502331,0.0,Guayaquil,Guayas,E,10,BREAD/BAKERY,2702,1,Regular,n,n,n,n,81.0
24452,2013-01-02 00:00:00,31,1047679,0.0,Babahoyo,Los Rios,B,10,BEVERAGES,1120,0,Regular,n,n,n,n,5.0
24751,2013-01-02 00:00:00,32,502331,0.0,Guayaquil,Guayas,C,3,BREAD/BAKERY,2702,1,Regular,n,n,n,n,7.0
25991,2013-01-02 00:00:00,34,364606,0.0,Guayaquil,Guayas,B,6,GROCERY I,1014,0,Regular,n,n,n,n,51.0
32613,2013-01-02 00:00:00,44,364606,0.0,Quito,Pichincha,A,5,GROCERY I,1014,0,Regular,n,n,n,n,244.0
40760,2013-01-02 00:00:00,51,265559,0.0,Guayaquil,Guayas,A,17,GROCERY I,1072,0,Regular,n,n,n,n,94.0
43434,2013-01-03 00:00:00,2,314384,0.0,Quito,Pichincha,D,13,GROCERY I,1004,0,Regular,n,n,n,n,45.0
45006,2013-01-03 00:00:00,3,807493,0.0,Quito,Pichincha,D,8,BEVERAGES,1124,0,Regular,n,n,n,n,96.0
49799,2013-01-03 00:00:00,8,314384,0.0,Quito,Pichincha,D,8,GROCERY I,1004,0,Regular,n,n,n,n,69.0
57926,2013-01-03 00:00:00,18,807493,0.0,Quito,Pichincha,B,16,BEVERAGES,1124,0,Regular,n,n,n,n,32.0
59166,2013-01-03 00:00:00,23,502331,0.0,Ambato,Tungurahua,D,9,BREAD/BAKERY,2702,1,Regular,n,n,n,n,44.0
65038,2013-01-03 00:00:00,31,1047679,0.0,Babahoyo,Los Rios,B,10,BEVERAGES,1120,0,Regular,n,n,n,n,6.0
65749,2013-01-03 00:00:00,33,265559,0.0,Quevedo,Los Rios,C,3,GROCERY I,1072,0,Regular,n,n,n,n,23.0
67362,2013-01-03 00:00:00,35,502331,0.0,Playas,Guayas,C,3,BREAD/BAKERY,2702,1,Regular,n,n,n,n,33.0
79911,2013-01-03 00:00:00,50,364606,0.0,Ambato,Tungurahua,A,14,GROCERY I,1014,0,Regular,n,n,n,n,148.0
82148,2013-01-03 00:00:00,54,819932,0.0,El Carmen,Manabi,C,3,BEVERAGES,1122,0,Regular,n,n,n,n,22.0
90405,2013-01-04 00:00:00,8,807493,0.0,Quito,Pichincha,D,8,BEVERAGES,1124,0,Regular,n,n,n,n,104.0
93014,2013-01-04 00:00:00,11,819932,0.0,Cayambe,Pichincha,B,6,BEVERAGES,1122,0,Regular,n,n,n,n,351.0
103688,2013-01-04 00:00:00,28,1047679,0.0,Guayaquil,Guayas,E,10,BEVERAGES,1120,0,Regular,n,n,n,n,1.0
103895,2013-01-04 00:00:00,30,364606,0.0,Guayaquil,Guayas,C,3,GROCERY I,1014,0,Regular,n,n,n,n,24.0
135261,2013-01-05 00:00:00,13,1047679,0.0,Latacunga,Cotopaxi,C,15,BEVERAGES,1120,0,Regular,n,n,n,n,27.0
139373,2013-01-05 00:00:00,19,364606,0.0,Guaranda,Bolivar,C,15,GROCERY I,1014,0,Regular,n,n,n,n,76.0
139627,2013-01-05 00:00:00,19,807493,0.0,Guaranda,Bolivar,C,15,BEVERAGES,1124,0,Regular,n,n,n,n,103.0
141194,2013-01-05 00:00:00,24,502331,0.0,Guayaquil,Guayas,D,1,BREAD/BAKERY,2702,1,Regular,n,n,n,n,92.0
144075,2013-01-05 00:00:00,27,807493,0.0,Daule,Guayas,D,1,BEVERAGES,1124,0,Regular,n,n,n,n,49.0
146147,2013-01-05 00:00:00,31,364606,0.0,Babahoyo,Los Rios,B,10,GROCERY I,1014,0,Regular,n,n,n,n,136.0
147729,2013-01-05 00:00:00,33,819932,0.0,Quevedo,Los Rios,C,3,BEVERAGES,1122,0,Regular,n,n,n,n,49.0
149578,2013-01-05 00:00:00,37,314384,0.0,Cuenca,Azuay,D,2,GROCERY I,1004,0,Regular,n,n,n,n,101.0
151131,2013-01-05 00:00:00,38,819932,0.0,Loja,Loja,D,4,BEVERAGES,1122,0,Regular,n,n,n,n,9.0
156196,2013-01-05 00:00:00,45,314384,0.0,Quito,Pichincha,A,11,GROCERY I,1004,0,Regular,n,n,n,n,199.0
159972,2013-01-05 00:00:00,48,364606,0.0,Quito,Pichincha,A,14,GROCERY I,1014,0,Regular,n,n,n,n,160.0
173006,2013-01-06 00:00:00,8,807493,0.0,Quito,Pichincha,D,8,BEVERAGES,1124,0,Regular,n,n,n,n,102.0
179851,2013-01-06 00:00:00,17,502331,0.0,Quito,Pichincha,C,12,BREAD/BAKERY,2702,1,Regular,n,n,n,n,31.0
185235,2013-01-06 00:00:00,26,1047679,0.0,Guayaquil,Guayas,D,10,BEVERAGES,1120,0,Regular,n,n,n,n,2.0
185473,2013-01-06 00:00:00,27,265559,0.0,Daule,Guayas,D,1,GROCERY I,1072,0,Regular,n,n,n,n,46.0
187958,2013-01-06 00:00:00,31,265559,0.0,Babahoyo,Los Rios,B,10,GROCERY I,1072,0,Regular,n,n,n,n,64.0
