id,date,store_nbr,item_nbr,onpromotion,city,state,type_store,cluster,family,class,perishable,unit_sales
125440274,1,26,265559,0,Guayaquil,Guayas,D,10,GROCERY I,1072,0,15
125429634,1,20,314384,1,Quito,Pichincha,B,6,GROCERY I,1004,0,39
125482087,1,48,314384,1,Quito,Pichincha,A,14,GROCERY I,1004,0,45
125487132,1,50,314384,1,Ambato,Tungurahua,A,14,GROCERY I,1004,0,77
125494054,1,53,314384,1,Manta,Manabi,D,13,GROCERY I,1004,0,26
125426315,1,18,364606,0,Quito,Pichincha,B,16,GROCERY I,1014,0,18
125409772,1,8,502331,0,Quito,Pichincha,D,8,BREAD/BAKERY,2702,1,24
125438912,1,25,502331,0,Salinas,Santa Elena,D,1,BREAD/BAKERY,2702,1,37
125443780,1,28,502331,0,Guayaquil,Guayas,E,10,BREAD/BAKERY,2702,1,43
125421918,1,15,807493,0,Ibarra,Imbabura,C,15,BEVERAGES,1124,0,26
125462411,1,39,807493,0,Cuenca,Azuay,B,6,BEVERAGES,1124,0,15
125460394,1,38,819932,0,Loja,Loja,D,4,BEVERAGES,1122,0,4
125482568,1,48,819932,0,Quito,Pichincha,A,14,BEVERAGES,1122,0,31
125425053,1,17,1047679,0,Quito,Pichincha,C,12,BEVERAGES,1120,0,88
125435447,1,23,1047679,0,Ambato,Tungurahua,D,9,BEVERAGES,1120,0,5
125477601,1,46,1047679,0,Quito,Pichincha,A,14,BEVERAGES,1120,0,138
125414937,1,10,1463992,0,Quito,Pichincha,C,15,BEVERAGES,1144,0,125
125427433,1,18,1473474,1,Quito,Pichincha,B,16,PRODUCE,2014,1,157.422
125446843,1,29,1473474,1,Guayaquil,Guayas,E,10,PRODUCE,2014,1,80.106
125449981,1,31,1473474,1,Babahoyo,Los Rios,B,10,PRODUCE,2014,1,211.017
125457231,1,36,1473474,1,Libertad,Guayas,E,10,PRODUCE,2014,1,66.394
125461298,1,38,1503844,0,Loja,Loja,D,4,PRODUCE,2022,1,88.913
125317785,1,14,364606,0,Riobamba,Chimborazo,C,7,GROCERY I,1014,0,25
125353009,1,36,364606,0,Libertad,Guayas,E,10,GROCERY I,1014,0,13
125338000,1,26,502331,0,Guayaquil,Guayas,D,10,BREAD/BAKERY,2702,1,10
125292053,1,1,819932,0,Quito,Pichincha,D,13,BEVERAGES,1122,0,22
125324761,1,18,1463992,0,Quito,Pichincha,B,16,BEVERAGES,1144,0,59
125363707,1,41,1463992,0,Machala,El Oro,D,4,BEVERAGES,1144,0,1
125370062,1,44,1463992,0,Quito,Pichincha,A,5,BEVERAGES,1144,0,160
125349652,1,33,1473474,0,Quevedo,Los Rios,C,3,PRODUCE,2014,1,19.621
125185474,1,1,314384,1,Quito,Pichincha,D,13,GROCERY I,1004,0,10
125186872,1,2,314384,1,Quito,Pichincha,D,13,GROCERY I,1004,0,32
125194034,1,5,314384,1,Santo Domingo,Santo Domingo de los Tsachilas,D,4,GROCERY I,1004,0,27
125185507,1,1,364606,0,Quito,Pichincha,D,13,GROCERY I,1014,0,5
125203187,1,9,364606,0,Quito,Pichincha,B,6,GROCERY I,1014,0,43
125220757,1,20,364606,0,Quito,Pichincha,B,6,GROCERY I,1014,0,47
125232104,1,26,364606,0,Guayaquil,Guayas,D,10,GROCERY I,1014,0,16
125233634,1,27,364606,0,Daule,Guayas,D,1,GROCERY I,1014,0,30
125258058,1,41,364606,0,Machala,El Oro,D,4,GROCERY I,1014,0,56
125189378,1,3,502331,0,Quito,Pichincha,D,8,BREAD/BAKERY,2702,1,64
125264362,1,44,502331,0,Quito,Pichincha,A,5,BREAD/BAKERY,2702,1,109
125288294,1,53,502331,0,Manta,Manabi,D,13,BREAD/BAKERY,2702,1,55
125203557,1,9,807493,0,Quito,Pichincha,B,6,BEVERAGES,1124,0,21
125230694,1,25,807493,0,Salinas,Santa Elena,D,1,BEVERAGES,1124,0,3
125201375,1,8,1047679,0,Quito,Pichincha,D,8,BEVERAGES,1120,0,120
125252867,1,38,1047679,0,Loja,Loja,D,4,BEVERAGES,1120,0,10
125288785,1,53,1047679,0,Manta,Manabi,D,13,BEVERAGES,1120,0,13
125209490,1,12,1463992,0,Latacunga,Cotopaxi,C,15,BEVERAGES,1144,0,51
125291060,1,54,1463992,0,El Carmen,Manabi,C,3,BEVERAGES,1144,0,140
125213500,1,15,1473474,0,Ibarra,Imbabura,C,15,PRODUCE,2014,1,21.112
125271566,1,46,1503844,0,Quito,Pichincha,A,14,PRODUCE,2022,1,150.891
125287228,1,52,1503844,0,Manta,Manabi,A,11,PRODUCE,2022,1,306.163
125095474,1,8,265559,0,Quito,Pichincha,D,8,GROCERY I,1072,0,21
125128454,1,27,265559,0,Daule,Guayas,D,1,GROCERY I,1072,0,55
125132523,1,29,265559,0,Guayaquil,Guayas,E,10,GROCERY I,1072,0,24
125172181,1,49,265559,0,Quito,Pichincha,A,11,GROCERY I,1072,0,30
125182118,1,53,265559,0,Manta,Manabi,D,13,GROCERY I,1072,0,97
125106348,1,14,314384,1,Riobamba,Chimborazo,C,7,GROCERY I,1004,0,20
125089156,1,5,364606,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,GROCERY I,1014,0,21
125091077,1,6,364606,0,Quito,Pichincha,D,13,GROCERY I,1014,0,29
125123165,1,24,364606,0,Guayaquil,Guayas,D,1,GROCERY I,1014,0,44
125140170,1,34,364606,0,Guayaquil,Guayas,B,6,GROCERY I,1014,0,18
125149246,1,39,807493,0,Cuenca,Azuay,B,6,BEVERAGES,1124,0,23
125184439,1,54,807493,0,El Carmen,Manabi,C,3,BEVERAGES,1124,0,26
125143331,1,36,819932,0,Libertad,Guayas,E,10,BEVERAGES,1122,0,27
125145153,1,37,819932,0,Cuenca,Azuay,D,2,BEVERAGES,1122,0,19
125182581,1,53,819932,0,Manta,Manabi,D,13,BEVERAGES,1122,0,19
125085218,1,3,1047679,0,Quito,Pichincha,D,8,BEVERAGES,1120,0,339
125089715,1,5,1047679,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,BEVERAGES,1120,0,3
125136295,1,31,1047679,0,Babahoyo,Los Rios,B,10,BEVERAGES,1120,0,8
125151333,1,40,1047679,0,Machala,El Oro,C,3,BEVERAGES,1120,0,4
125175677,1,50,1047679,0,Ambato,Tungurahua,A,14,BEVERAGES,1120,0,29
125083465,1,2,1463992,0,Quito,Pichincha,D,13,BEVERAGES,1144,0,83
125138208,1,32,1473474,0,Guayaquil,Guayas,C,3,PRODUCE,2014,1,6.727
125157782,1,43,1473474,0,Esmeraldas,Esmeraldas,E,10,PRODUCE,2014,1,32.72
125034664,1,34,265559,0,Guayaquil,Guayas,B,6,GROCERY I,1072,0,32
125025340,1,28,314384,1,Guayaquil,Guayas,E,10,GROCERY I,1004,0,18
125027329,1,29,314384,1,Guayaquil,Guayas,E,10,GROCERY I,1004,0,26
125053154,1,44,314384,1,Quito,Pichincha,A,5,GROCERY I,1004,0,91
124984150,1,5,364606,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,GROCERY I,1014,0,24
125036440,1,35,364606,0,Playas,Guayas,C,3,GROCERY I,1014,0,8
125074814,1,52,502331,0,Manta,Manabi,A,11,BREAD/BAKERY,2702,1,75
125067483,1,49,807493,0,Quito,Pichincha,A,11,BEVERAGES,1124,0,13
125029431,1,30,819932,0,Guayaquil,Guayas,C,3,BEVERAGES,1122,0,36
124989051,1,7,1047679,0,Quito,Pichincha,D,8,BEVERAGES,1120,0,118
125001579,1,14,1047679,0,Riobamba,Chimborazo,C,7,BEVERAGES,1120,0,11
124978495,1,2,1463992,0,Quito,Pichincha,D,13,BEVERAGES,1144,0,101
124997667,1,11,1463992,0,Cayambe,Pichincha,B,6,BEVERAGES,1144,0,138
125028483,1,29,1463992,0,Guayaquil,Guayas,E,10,BEVERAGES,1144,0,21
