ID,date,store_nbr,item_nbr,perishable,unit_sales,,,,,,,,,,city,type_store,cluster,family
136,1,33,103501,0,31,,,,,,,,,,Quevedo,C,3,CLEANING
137,1,9,103501,0,19,,,,,,,,,,Quito,B,6,CLEANING
138,1,12,103501,0,19,,,,,,,,,,Latacunga,C,15,CLEANING
139,1,16,103501,0,18,,,,,,,,,,Santo Domingo,C,3,CLEANING
140,1,14,103501,0,17,,,,,,,,,,Riobamba,C,7,CLEANING
141,1,54,103501,0,17,,,,,,,,,,El Carmen,C,3,CLEANING
142,1,54,103501,0,17,,,,,,,,,,El Carmen,C,3,CLEANING
143,1,14,103501,0,16,,,,,,,,,,Riobamba,C,7,CLEANING
144,1,11,103501,0,16,,,,,,,,,,Cayambe,B,6,CLEANING
145,1,9,103501,0,16,,,,,,,,,,Quito,B,6,CLEANING
146,1,54,103501,0,16,,,,,,,,,,El Carmen,C,3,CLEANING
147,1,17,103501,0,16,,,,,,,,,,Quito,C,12,CLEANING
148,1,33,103501,0,15,,,,,,,,,,Quevedo,C,3,CLEANING
149,1,14,103501,0,15,,,,,,,,,,Riobamba,C,7,CLEANING
150,1,15,103501,0,15,,,,,,,,,,Ibarra,C,15,CLEANING
151,1,39,103501,0,15,,,,,,,,,,Cuenca,B,6,CLEANING
152,1,14,103501,0,15,,,,,,,,,,Riobamba,C,7,CLEANING
153,1,16,103501,0,15,,,,,,,,,,Santo Domingo,C,3,CLEANING
154,1,17,103501,0,14,,,,,,,,,,Quito,C,12,CLEANING
155,1,54,103501,0,14,,,,,,,,,,El Carmen,C,3,CLEANING
156,1,9,103501,0,14,,,,,,,,,,Quito,B,6,CLEANING
157,1,33,103501,0,14,,,,,,,,,,Quevedo,C,3,CLEANING
158,1,11,103501,0,13,,,,,,,,,,Cayambe,B,6,CLEANING
159,1,13,103501,0,13,,,,,,,,,,Latacunga,C,15,CLEANING
160,1,16,103501,0,13,,,,,,,,,,Santo Domingo,C,3,CLEANING
161,1,40,103501,0,13,,,,,,,,,,Machala,C,3,CLEANING
162,1,17,103501,0,13,,,,,,,,,,Quito,C,12,CLEANING
163,1,16,103501,0,13,,,,,,,,,,Santo Domingo,C,3,CLEANING
164,1,40,103501,0,13,,,,,,,,,,Machala,C,3,CLEANING
165,1,9,103501,0,13,,,,,,,,,,Quito,B,6,CLEANING
166,1,16,103501,0,13,,,,,,,,,,Santo Domingo,C,3,CLEANING
167,1,31,103501,0,13,,,,,,,,,,Babahoyo,B,10,CLEANING
168,1,28,103501,0,12,,,,,,,,,,Guayaquil,E,10,CLEANING
169,1,33,103501,0,12,,,,,,,,,,Quevedo,C,3,CLEANING
170,1,16,103501,0,12,,,,,,,,,,Santo Domingo,C,3,CLEANING
171,1,31,103501,0,12,,,,,,,,,,Babahoyo,B,10,CLEANING
172,1,33,103501,0,12,,,,,,,,,,Quevedo,C,3,CLEANING
173,1,16,103501,0,12,,,,,,,,,,Santo Domingo,C,3,CLEANING
174,1,14,103501,0,12,,,,,,,,,,Riobamba,C,7,CLEANING
175,1,17,103501,0,12,,,,,,,,,,Quito,C,12,CLEANING
176,1,54,103501,0,12,,,,,,,,,,El Carmen,C,3,CLEANING
177,1,14,103501,0,12,,,,,,,,,,Riobamba,C,7,CLEANING
