id,date,store_nbr,item_nbr,perishable,unit_sales,,,,class
0,1,25,103665,0,7,,,,1093
1,1,25,105574,0,1,,,,1045
2,1,25,105575,0,2,,,,1045
3,1,25,108079,0,1,,,,1030
4,1,25,108701,1,1,,,,2644
578,1,1,103665,0,2,,,,1093
579,1,1,105574,0,8,,,,1045
580,1,1,105575,0,15,,,,1045
581,1,1,105577,0,2,,,,1045
582,1,1,105737,0,2,,,,1044
583,1,1,105857,0,12,,,,1092
584,1,1,106716,0,2,,,,1032
585,1,1,108696,1,3,,,,2636
586,1,1,108698,1,6,,,,2644
587,1,1,108701,1,3,,,,2644
1596,1,2,103665,0,5,,,,1093
1597,1,2,105574,0,21,,,,1045
1598,1,2,105577,0,6,,,,1045
1599,1,2,105693,0,4,,,,1034
1600,1,2,105737,0,9,,,,1044
1601,1,2,105857,0,5,,,,1092
1602,1,2,106716,0,10,,,,1032
1603,1,2,108079,0,1,,,,1030
1604,1,2,108696,1,5,,,,2636
1605,1,2,108698,1,6,,,,2644
1606,1,2,108701,1,4,,,,2644
2699,1,3,103665,0,6,,,,1093
2700,1,3,105574,0,36,,,,1045
2701,1,3,105575,0,21,,,,1045
2702,1,3,105577,0,6,,,,1045
2703,1,3,105693,0,2,,,,1034
2704,1,3,105737,0,12,,,,1044
2705,1,3,105857,0,36,,,,1092
2706,1,3,106716,0,11,,,,1032
2707,1,3,108079,0,2,,,,1030
2708,1,3,108696,1,9,,,,2636
2709,1,3,108698,1,15,,,,2644
3900,1,4,103665,0,2,,,,1093
3901,1,4,105574,0,15,,,,1045
3902,1,4,105575,0,23,,,,1045
3903,1,4,105577,0,3,,,,1045
3904,1,4,105693,0,4,,,,1034
3905,1,4,105737,0,5,,,,1044
3906,1,4,105857,0,3,,,,1092
3907,1,4,106716,0,5,,,,1032
3908,1,4,108696,1,2,,,,2636
3909,1,4,108698,1,5,,,,2644
4949,1,5,103665,0,9,,,,1093
4950,1,5,105574,0,32,,,,1045
4951,1,5,105575,0,34,,,,1045
4952,1,5,105577,0,17,,,,1045
4953,1,5,105693,0,9,,,,1034
4954,1,5,105737,0,6,,,,1044
4955,1,5,105857,0,7,,,,1092
4956,1,5,106716,0,6,,,,1032
4957,1,5,108696,1,4,,,,2636
4958,1,5,108698,1,1,,,,2644
4959,1,5,108701,1,6,,,,2644
5984,1,6,103665,0,6,,,,1093
5985,1,6,105574,0,4,,,,1045
5986,1,6,105575,0,16,,,,1045
5987,1,6,105577,0,5,,,,1045
5988,1,6,105693,0,4,,,,1034
5989,1,6,105737,0,8,,,,1044
5990,1,6,105857,0,20,,,,1092
5991,1,6,108079,0,2,,,,1030
5992,1,6,108696,1,3,,,,2636
7109,1,7,103665,0,4,,,,1093
7110,1,7,105574,0,19,,,,1045
7111,1,7,105575,0,24,,,,1045
7112,1,7,105577,0,4,,,,1045
7113,1,7,105693,0,2,,,,1034
7114,1,7,105737,0,12,,,,1044
7115,1,7,105857,0,3,,,,1092
7116,1,7,106716,0,9,,,,1032
7117,1,7,108696,1,1,,,,2636
7118,1,7,108698,1,4,,,,2644
8186,1,8,103520,0,12,,,,1028
8187,1,8,103665,0,6,,,,1093
8188,1,8,105574,0,17,,,,1045
8189,1,8,105575,0,14,,,,1045
8190,1,8,105577,0,8,,,,1045
8191,1,8,105693,0,2,,,,1034
8192,1,8,105737,0,5,,,,1044
8193,1,8,105857,0,22,,,,1092
8194,1,8,106716,0,7,,,,1032
8195,1,8,108696,1,10,,,,2636
8196,1,8,108698,1,10,,,,2644
8197,1,8,108701,1,4,,,,2644
9389,1,9,103501,0,19,,,,3008
9390,1,9,103520,0,3,,,,1028
9391,1,9,103665,0,12,,,,1093
9392,1,9,105576,0,43,,,,1045
9393,1,9,105857,0,10,,,,1092
9394,1,9,106716,0,10,,,,1032
9395,1,9,108696,1,11,,,,2636
9396,1,9,108698,1,5,,,,2644
9397,1,9,108701,1,13,,,,2644
10371,1,9,1083518,0,5,,,,1048
10410,1,10,103501,0,8,,,,3008
10411,1,10,105576,0,7,,,,1045
10412,1,10,106716,0,23,,,,1032
10413,1,10,108079,0,3,,,,1030
10414,1,10,108696,1,4,,,,2636
10415,1,10,108701,1,6,,,,2644
11060,1,10,1083518,0,2,,,,1048
11087,1,11,103501,0,13,,,,3008
11088,1,11,103665,0,3,,,,1093
11089,1,11,105576,0,30,,,,1045
11090,1,11,105693,0,10,,,,1034
11091,1,11,105857,0,3,,,,1092
11092,1,11,106716,0,12,,,,1032
11093,1,11,108079,0,2,,,,1030
11094,1,11,108696,1,9,,,,2636
11095,1,11,108698,1,9,,,,2644
11096,1,11,108701,1,10,,,,2644
12014,1,11,1083518,0,6,,,,1048
12049,1,12,103501,0,7,,,,3008
12050,1,12,105576,0,30,,,,1045
12051,1,12,105857,0,6,,,,1092
12052,1,12,106716,0,21,,,,1032
12053,1,12,108079,0,2,,,,1030
12054,1,12,108696,1,12,,,,2636
12055,1,12,108701,1,2,,,,2644
12764,1,13,103501,0,13,,,,3008
12765,1,13,105576,0,23,,,,1045
12766,1,13,106716,0,11,,,,1032
