id,date,store_nbr,item_nbr,perishable,unit_sales,,
0,1,25,103665,0,7,,
1,1,25,105574,0,1,,
2,1,25,105575,0,2,,
3,1,25,108079,0,1,,
4,1,25,108701,1,1,,
578,1,1,103665,0,2,,
579,1,1,105574,0,8,,
580,1,1,105575,0,15,,
581,1,1,105577,0,2,,
582,1,1,105737,0,2,,
583,1,1,105857,0,12,,
584,1,1,106716,0,2,,
585,1,1,108696,1,3,,
586,1,1,108698,1,6,,
587,1,1,108701,1,3,,
1596,1,2,103665,0,5,,
1597,1,2,105574,0,21,,
1598,1,2,105577,0,6,,
1599,1,2,105693,0,4,,
1600,1,2,105737,0,9,,
1601,1,2,105857,0,5,,
1602,1,2,106716,0,10,,
1603,1,2,108079,0,1,,
1604,1,2,108696,1,5,,
1605,1,2,108698,1,6,,
1606,1,2,108701,1,4,,
2699,1,3,103665,0,6,,
2700,1,3,105574,0,36,,
2701,1,3,105575,0,21,,
2702,1,3,105577,0,6,,
2703,1,3,105693,0,2,,
2704,1,3,105737,0,12,,
2705,1,3,105857,0,36,,
2706,1,3,106716,0,11,,
2707,1,3,108079,0,2,,
2708,1,3,108696,1,9,,
2709,1,3,108698,1,15,,
3900,1,4,103665,0,2,,
3901,1,4,105574,0,15,,
3902,1,4,105575,0,23,,
3903,1,4,105577,0,3,,
3904,1,4,105693,0,4,,
3905,1,4,105737,0,5,,
3906,1,4,105857,0,3,,
3907,1,4,106716,0,5,,
3908,1,4,108696,1,2,,
3909,1,4,108698,1,5,,
4949,1,5,103665,0,9,,
4950,1,5,105574,0,32,,
4951,1,5,105575,0,34,,
4952,1,5,105577,0,17,,
4953,1,5,105693,0,9,,
4954,1,5,105737,0,6,,
4955,1,5,105857,0,7,,
4956,1,5,106716,0,6,,
4957,1,5,108696,1,4,,
4958,1,5,108698,1,1,,
4959,1,5,108701,1,6,,
5984,1,6,103665,0,6,,
5985,1,6,105574,0,4,,
5986,1,6,105575,0,16,,
5987,1,6,105577,0,5,,
5988,1,6,105693,0,4,,
5989,1,6,105737,0,8,,
5990,1,6,105857,0,20,,
5991,1,6,108079,0,2,,
5992,1,6,108696,1,3,,
7109,1,7,103665,0,4,,
7110,1,7,105574,0,19,,
7111,1,7,105575,0,24,,
7112,1,7,105577,0,4,,
7113,1,7,105693,0,2,,
7114,1,7,105737,0,12,,
7115,1,7,105857,0,3,,
7116,1,7,106716,0,9,,
7117,1,7,108696,1,1,,
7118,1,7,108698,1,4,,
8186,1,8,103520,0,12,,
8187,1,8,103665,0,6,,
8188,1,8,105574,0,17,,
8189,1,8,105575,0,14,,
8190,1,8,105577,0,8,,
8191,1,8,105693,0,2,,
8192,1,8,105737,0,5,,
8193,1,8,105857,0,22,,
8194,1,8,106716,0,7,,
8195,1,8,108696,1,10,,
8196,1,8,108698,1,10,,
8197,1,8,108701,1,4,,
9389,1,9,103501,0,19,,
9390,1,9,103520,0,3,,
9391,1,9,103665,0,12,,
9392,1,9,105576,0,43,,
9393,1,9,105857,0,10,,
9394,1,9,106716,0,10,,
9395,1,9,108696,1,11,,
9396,1,9,108698,1,5,,
9397,1,9,108701,1,13,,
10371,1,9,1083518,0,5,,
10410,1,10,103501,0,8,,
10411,1,10,105576,0,7,,
10412,1,10,106716,0,23,,
10413,1,10,108079,0,3,,
10414,1,10,108696,1,4,,
10415,1,10,108701,1,6,,
11060,1,10,1083518,0,2,,
11087,1,11,103501,0,13,,
11088,1,11,103665,0,3,,
11089,1,11,105576,0,30,,
11090,1,11,105693,0,10,,
11091,1,11,105857,0,3,,
11092,1,11,106716,0,12,,
11093,1,11,108079,0,2,,
11094,1,11,108696,1,9,,
11095,1,11,108698,1,9,,
11096,1,11,108701,1,10,,
12014,1,11,1083518,0,6,,
12049,1,12,103501,0,7,,
12050,1,12,105576,0,30,,
12051,1,12,105857,0,6,,
12052,1,12,106716,0,21,,
12053,1,12,108079,0,2,,
12054,1,12,108696,1,12,,
